"","ID","Dyad","obs","time","mod","Trial","ID_p","Dyad_p","obs_p","time_p","mod_p","Trial_p"
"101",1,1,665,14,3,4,501,1,1126,14,3,4
"102",1,1,614,15,3,4,501,1,1142,15,3,4
"103",1,1,649,16,3,4,501,1,818,16,3,4
"104",1,1,644,17,3,4,501,1,810,17,3,4
"105",1,1,722,18,3,4,501,1,1006,18,3,4
"106",1,1,665,19,3,4,501,1,898,19,3,4
"107",1,1,667,20,3,4,501,1,1096,20,3,4
"108",1,1,786,21,3,4,501,1,918,21,3,4
"109",1,1,748,22,3,4,501,1,880,22,3,4
"110",1,1,736,23,3,4,501,1,782,23,3,4
"111",1,1,657,24,3,4,501,1,787,24,3,4
"112",1,1,636,25,3,4,501,1,NA,25,3,4
"113",1,1,612,26,3,4,501,1,NA,26,3,4
"114",1,1,722,27,3,4,501,1,962,27,3,4
"115",1,1,729,28,3,4,501,1,794,28,3,4
"116",1,1,718,29,3,4,501,1,752,29,3,4
"117",1,1,649,30,3,4,501,1,872,30,3,4
"118",1,1,619.3333,31,3,4,501,1,906,31,3,4
"119",1,1,613,32,3,4,501,1,796,32,3,4
"120",1,1,678,33,3,4,501,1,826,33,3,4
"121",1,1,659,34,3,4,501,1,934,34,3,4
"122",1,1,684,35,3,4,501,1,804,35,3,4
"123",1,1,640,36,3,4,501,1,758,36,3,4
"124",1,1,602,37,3,4,501,1,869,37,3,4
"125",1,1,570.6667,38,3,4,501,1,856,38,3,4
"126",1,1,583,39,3,4,501,1,771,39,3,4
"127",1,1,727,40,3,4,501,1,728,40,3,4
"128",1,1,704,41,3,4,501,1,NA,41,3,4
"129",1,1,683,42,3,4,501,1,1026,42,3,4
"130",1,1,624,43,3,4,501,1,912,43,3,4
"131",1,1,562,44,3,4,501,1,890,44,3,4
"132",1,1,588.6667,45,3,4,501,1,752,45,3,4
"133",1,1,700,46,3,4,501,1,805,46,3,4
"134",1,1,683,47,3,4,501,1,1006,47,3,4
"135",1,1,632,48,3,4,501,1,848,48,3,4
"136",1,1,622,49,3,4,501,1,862,49,3,4
"137",1,1,637,50,3,4,501,1,814,50,3,4
"138",1,1,612,51,3,4,501,1,766,51,3,4
"139",1,1,598.6667,52,3,4,501,1,1074,52,3,4
"140",1,1,605,53,3,4,501,1,938,53,3,4
"141",1,1,609,54,3,4,501,1,857,54,3,4
"142",1,1,591.3333,55,3,4,501,1,828,55,3,4
"143",1,1,603,56,3,4,501,1,818,56,3,4
"144",1,1,609,57,3,4,501,1,864,57,3,4
"145",1,1,614.6667,58,3,4,501,1,924,58,3,4
"146",1,1,633,59,3,4,501,1,834,59,3,4
"147",1,1,656,60,3,4,501,1,757,60,3,4
"148",1,1,607,61,3,4,501,1,786,61,3,4
"149",1,1,544.6667,62,3,4,501,1,912,62,3,4
"150",1,1,614,63,3,4,501,1,824,63,3,4
"151",1,1,734,64,3,4,501,1,836,64,3,4
"152",1,1,734,65,3,4,501,1,888,65,3,4
"153",1,1,685,66,3,4,501,1,1092,66,3,4
"154",1,1,596,67,3,4,501,1,786,67,3,4
"155",1,1,597,68,3,4,501,1,NA,68,3,4
"156",1,1,608,69,3,4,501,1,949,69,3,4
"157",1,1,621.3333,70,3,4,501,1,884,70,3,4
"158",1,1,612.6667,71,3,4,501,1,842,71,3,4
"159",1,1,656,72,3,4,501,1,799,72,3,4
"160",1,1,639,73,3,4,501,1,830,73,3,4
"161",1,1,642,74,3,4,501,1,1126,74,3,4
"162",1,1,691,75,3,4,501,1,928,75,3,4
"163",1,1,653,76,3,4,501,1,756,76,3,4
